model,r2,mae,rmse,correlation,feature_count
presence_only,0.017542351854928473,0.14949711586155673,0.20804100368965076,0.13244754378594084,1
workload_only,0.01680551093803806,0.147690733721886,0.20811900419817236,0.12963607113006018,3
system_only,0.07587517196380855,0.13423152647855727,0.20177034687657291,0.27545448256256183,3
performance_only,0.5416444816400673,0.08464623128945055,0.1420997302903135,0.7359650002819881,3
catem_full_model,0.5870001943208403,0.08246719123103002,0.13488602145650827,0.7661593791900222,13
