model,r2,mae,rmse,correlation,feature_count
presence_only,0.05430649306543944,0.12366102573447625,0.1841738252419822,0.23305088780335453,1
workload_only,0.07225944149420727,0.1223375509242046,0.1824172802863399,0.26959882018225695,3
system_only,0.42448779641291634,0.07083211591825796,0.14367459227578946,0.6542228302935434,3
performance_only,0.836605811844089,0.045612907087955894,0.07655454986114255,0.9146704476114343,3
catem_full_model,0.9933967660481876,0.009373420918787548,0.015389731647129597,0.996740338982929,14
